J,alpha_c,invJ
0.0714285714285714,0.8233216165355406,13.999999999999998
0.0751020408163265,0.8270025704265573,13.315217391304348
0.0787755102040816,0.830668778831605,12.694300518134716
0.0824489795918367,0.8343202795949765,12.128712871287128
0.0861224489795918,0.8379571126145313,11.611374407582938
0.0897959183673469,0.841579319254961,11.136363636363637
0.093469387755102,0.8451869420544245,10.698689956331876
0.0971428571428571,0.8487800241378138,10.294117647058822
0.1008163265306122,0.8523586112703196,9.91902834008097
0.1044897959183673,0.8559227486304009,9.5703125
0.1081632653061224,0.8594724837434478,9.245283018867925
0.1118367346938775,0.8630078650149515,8.941605839416058
0.1155102040816326,0.8665289414371362,8.657243816254416
0.1191836734693877,0.8700357634690592,8.39041095890411
0.1228571428571428,0.873528381569777,8.139534883720929
0.1265306122448979,0.8770068482519129,7.903225806451614
0.130204081632653,0.8804712163214574,7.6802507836990594
0.1338775510204081,0.8839215391711333,7.469512195121951
0.1375510204081632,0.887357871073764,7.270029673590503
0.1412244897959183,0.8907802674756387,7.08092485549133
0.1448979591836734,0.8941887835296802,6.901408450704224
0.1485714285714285,0.8975834761490116,6.730769230769231
0.1522448979591836,0.9009644022467548,6.568364611260054
0.1559183673469387,0.9043316193227656,6.413612565445026
0.1595918367346938,0.9076851854636336,6.265984654731458
0.1632653061224489,0.91102515934268,6.125000000000001
0.166938775510204,0.9143515999265944,5.990220048899755
0.1706122448979591,0.9176645670621656,5.8612440191387565
0.1742857142857143,0.9209641203028152,5.737704918032787
0.1779591836734693,0.9242503203754312,5.619266055045872
0.1816326530612245,0.927523228006903,5.50561797752809
0.1853061224489796,0.9307829042174852,5.39647577092511
0.1889795918367346,0.9340294103207998,5.291576673866091
0.1926530612244898,0.9372628082172016,5.190677966101695
0.1963265306122449,0.9404831595136788,5.093555093555094
0.2,0.9436905264039526,5.0
0.2157894736842105,0.9573302264860832,4.634146341463414
0.231578947368421,0.970736189361196,4.318181818181818
0.2473684210526316,0.9839134421595372,4.042553191489361
0.2631578947368421,0.9968670228659178,3.8
0.2789473684210526,1.009601959784049,3.5849056603773586
0.2947368421052632,1.0221232527610844,3.3928571428571423
0.3105263157894737,1.0344358567590823,3.2203389830508478
0.3263157894736842,1.0465446680667816,3.064516129032258
0.3421052631578947,1.0584545140317645,2.923076923076923
0.3578947368421052,1.0701701433793644,2.794117647058824
0.3736842105263158,1.0816962188784964,2.676056338028169
0.3894736842105263,1.0930373111809606,2.5675675675675675
0.4052631578947369,1.1041978944209403,2.4675324675324672
0.4210526315789474,1.1151823426946068,2.375
0.4368421052631579,1.1259949277131818,2.289156626506024
0.4526315789473684,1.136639816456009,2.2093023255813957
0.4684210526315789,1.147121071757283,2.134831460674157
0.4842105263157895,1.1574426505458544,2.065217391304348
0.5,1.167608405312058,2.0
0.5610204081632653,1.205498019165825,1.7824663514005097
0.6220408163265306,1.2413166956254285,1.6076115485564304
0.6830612244897959,1.2752451347350149,1.4639976097998209
0.7440816326530613,1.3074444663454778,1.3439385628085572
0.8051020408163265,1.3380582802114078,1.2420785804816223
0.8661224489795918,1.3672146112029442,1.1545711592836947
0.9271428571428572,1.395027779887896,1.078582434514638
0.9881632653061224,1.4216000550403265,1.0119785212722014
1.0491836734693878,1.4470231281011363,0.9531219607080336
1.110204081632653,1.471379404871259,0.9007352941176472
1.1712244897959183,1.494743133506272,0.8538072834988673
1.2322448979591836,1.5171813834807837,0.8115269956939385
1.293265306122449,1.538754896938335,0.7732365472621113
1.3542857142857143,1.5595188238681297,0.7383966244725738
1.4153061224489796,1.5795233628177086,0.7065609228550829
1.476326530612245,1.598814315942582,0.6773569256289742
1.5373469387755103,1.6174335736478682,0.6504712597902561
1.5983673469387756,1.6354195349826477,0.6256384065372829
1.6593877551020408,1.652807476988528,0.6026319025950068
1.720408163265306,1.669629877989646,0.5812574139976275
1.7814285714285716,1.6859166992246175,0.5613472333600641
1.8424489795918368,1.7016956356749868,0.5427558706247231
1.903469387755102,1.7169923366769215,0.5253564919052214
1.9644897959183676,1.731830597782973,0.5090380220236859
2.0255102040816326,1.7462325364886784,0.4937027707808564
2.086530612244898,1.7602187427296303,0.4792644757433489
2.147551020408163,1.773808417350519,0.4656466787037917
2.2085714285714286,1.78701949267881,0.4527813712807244
2.269591836734694,1.7998687413637529,0.440607859005485
2.330612244897959,1.8123718749475664,0.4290718038528897
2.3916326530612246,1.8245436304085885,0.4181244133458486
2.45265306122449,1.8363978499569928,0.4077217507072723
2.513673469387755,1.8479475520295092,0.3978241454899732
2.5746938775510206,1.8592049949499785,0.3883956880152187
2.6357142857142857,1.87018173589604,0.3794037940379404
2.696734693877551,1.8808886837051249,0.3708188285152111
2.7577551020408166,1.8913361452263775,0.3626137793236142
2.8187755102040817,1.901533871672582,0.3547639733565015
2.879795918367347,1.911491095584352,0.3472468287151867
2.940816326530612,1.9212165689677927,0.3400416377515614
3.0018367346938777,1.9307185961515645,0.3331293765721667
3.062857142857143,1.9400050625368015,0.3264925373134328
3.123877551020408,1.9490834651072515,0.3201149800744757
3.1848979591836737,1.957960935605224,0.3139818018710752
3.2459183673469387,1.9666442651744005,0.3080792203709525
3.306938775510204,1.9751399263623173,0.3023944705011108
3.3679591836734697,1.983454091602471,0.2969157122947343
3.4289795918367347,1.9915926528698769,0.2916319485775503
3.49,1.9995612381096,0.2865329512893982
