T	M
1.000000000000e-02 1
1.000000000000e-01 1
4.341137123746e-01 1
7.682274247492e-01 1
1.102341137124e+00 1
1.436454849498e+00 .995
1.770568561873e+00 0.99
2.104682274247e+00 0.976
2.438795986622e+00 9.568979869856e-01
2.772909698997e+00 9.295019533899e-01
3.107023411371e+00 8.995113390664e-01
3.441137123746e+00 8.690376520699e-01
3.775250836120e+00 8.431545288888e-01
4.109364548495e+00 8.160177214380e-01
4.443478260870e+00 7.907987071986e-01
4.777591973244e+00 7.676431476258e-01
5.111705685619e+00 7.464331903318e-01
5.445819397993e+00 7.269490648698e-01
5.779933110368e+00 7.088046870789e-01
6.114046822742e+00 6.917340709013e-01
6.448160535117e+00 6.754707429650e-01
6.782274247492e+00 6.598035698538e-01
7.116387959866e+00 6.445818523512e-01
7.450501672241e+00 6.283227916684e-01
7.784615384615e+00 6.137931640647e-01
8.118729096990e+00 5.995641529568e-01
8.452842809365e+00 5.856554241854e-01
8.786956521739e+00 5.721016577454e-01
9.121070234114e+00 5.589434522063e-01
9.455183946488e+00 5.462205362143e-01
9.789297658863e+00 5.339671209922e-01
1.012341137124e+01 5.268078795440e-01
1.045752508361e+01 5.154626595320e-01
1.079163879599e+01 5.046408781853e-01
1.112575250836e+01 4.943407793199e-01
1.145986622074e+01 4.845528838210e-01
1.179397993311e+01 4.752613143028e-01
1.212809364548e+01 4.664451670411e-01
1.246220735786e+01 4.580798344236e-01
1.279632107023e+01 4.501381028785e-01
1.313043478261e+01 4.425913151400e-01
1.346454849498e+01 4.354100443660e-01
1.379866220736e+01 4.285872422351e-01
1.413277591973e+01 4.220491095664e-01
1.446688963211e+01 4.157906832417e-01
1.480100334448e+01 4.097855775535e-01
1.513511705686e+01 4.040090353447e-01
1.546923076923e+01 3.984381474269e-01
1.580334448161e+01 3.930518684475e-01
1.613745819398e+01 3.878311462814e-01
1.647157190635e+01 3.827589052678e-01
1.680568561873e+01 3.778200156014e-01
1.713979933110e+01 3.730012537285e-01
1.747391304348e+01 3.682911882254e-01
1.780802675585e+01 3.636801132200e-01
1.814214046823e+01 3.591599088401e-01
1.847625418060e+01 3.539412182653e-01
1.881036789298e+01 3.495936835604e-01
1.914448160535e+01 3.453206784378e-01
1.947859531773e+01 3.411190091372e-01
1.981270903010e+01 3.369864200408e-01
2.014682274247e+01 3.329214094119e-01
2.048093645485e+01 3.289230427336e-01
2.081505016722e+01 3.249908871418e-01
2.114916387960e+01 3.211249366910e-01
2.148327759197e+01 3.173254000942e-01
2.181739130435e+01 3.135927593989e-01
2.215150501672e+01 3.099274826285e-01
2.248561872910e+01 3.063302280152e-01
2.281973244147e+01 3.028016068632e-01
2.315384615385e+01 2.993421258357e-01
2.348795986622e+01 2.959522846616e-01
2.382207357860e+01 2.926324231678e-01
2.415618729097e+01 2.893827776132e-01
2.449030100334e+01 2.862034003620e-01
2.482441471572e+01 2.855873253054e-01
2.515852842809e+01 2.825214009866e-01
2.549264214047e+01 2.795257056733e-01
2.582675585284e+01 2.765996906675e-01
2.616086956522e+01 2.737426573031e-01
2.649498327759e+01 2.709538122675e-01
2.682909698997e+01 2.682321889650e-01
2.716321070234e+01 2.655766937624e-01
2.749732441472e+01 2.629861681746e-01
2.783143812709e+01 2.604593159610e-01
2.816555183946e+01 2.579947784742e-01
2.849966555184e+01 2.555911080116e-01
2.883377926421e+01 2.532468190032e-01
2.916789297659e+01 2.509603309123e-01
2.950200668896e+01 2.487300716035e-01
2.983612040134e+01 2.465543748602e-01
3.017023411371e+01 2.444316249745e-01
3.050434782609e+01 2.423601173551e-01
3.083846153846e+01 2.403381797724e-01
3.117257525084e+01 2.383641239386e-01
3.150668896321e+01 2.364362910173e-01
3.184080267559e+01 2.345529981373e-01
3.217491638796e+01 2.327126060184e-01
3.250903010033e+01 2.309134627483e-01
3.284314381271e+01 2.291659394102e-01
3.317725752508e+01 2.274444457758e-01
3.351137123746e+01 2.257595153381e-01
3.384548494983e+01 2.241096383320e-01
3.417959866221e+01 2.224933283246e-01
3.451371237458e+01 2.209091597312e-01
3.484782608696e+01 2.193557479409e-01
3.518193979933e+01 2.178317418434e-01
3.551605351171e+01 2.163358412700e-01
3.585016722408e+01 2.148667981174e-01
3.618428093645e+01 2.134234055400e-01
3.651839464883e+01 2.120044900302e-01
3.685250836120e+01 2.106089480738e-01
3.718662207358e+01 2.092357138409e-01
3.752073578595e+01 2.078837508035e-01
3.785484949833e+01 2.065520971120e-01
3.818896321070e+01 2.052398236452e-01
3.852307692308e+01 2.039460410166e-01
3.885719063545e+01 2.026699255014e-01
3.919130434783e+01 2.014106775634e-01
3.952541806020e+01 2.001675480535e-01
3.985953177258e+01 1.989398425054e-01
4.019364548495e+01 1.977268892567e-01
4.052775919732e+01 1.965280682105e-01
4.086187290970e+01 1.953427991951e-01
4.119598662207e+01 1.941705356937e-01
4.153010033445e+01 1.930107796434e-01
4.186421404682e+01 1.918630446115e-01
4.219832775920e+01 1.907269189381e-01
4.253244147157e+01 1.896019810245e-01
4.286655518395e+01 1.884878618514e-01
4.320066889632e+01 1.873842397855e-01
4.353478260870e+01 1.858797260857e-01
4.386889632107e+01 1.847985497149e-01
4.420301003344e+01 1.837269757961e-01
4.453712374582e+01 1.826647931939e-01
4.487123745819e+01 1.816117568729e-01
4.520535117057e+01 1.805677058212e-01
4.553946488294e+01 1.795324599747e-01
4.587357859532e+01 1.785058874475e-01
4.620769230769e+01 1.774878427256e-01
4.654180602007e+01 1.764782140795e-01
4.687591973244e+01 1.754769046647e-01
4.721003344482e+01 1.744838194755e-01
4.754414715719e+01 1.734989011779e-01
4.787826086957e+01 1.725220670827e-01
4.821237458194e+01 1.715532843959e-01
4.854648829431e+01 1.705925111599e-01
4.888060200669e+01 1.696397039916e-01
4.921471571906e+01 1.686948325123e-01
4.954882943144e+01 1.677578809911e-01
4.988294314381e+01 1.668288470807e-01
5.021705685619e+01 1.659077107490e-01
5.055117056856e+01 1.649944701028e-01
5.088528428094e+01 1.640891057288e-01
5.121939799331e+01 1.631916450992e-01
5.155351170569e+01 1.623020723081e-01
5.188762541806e+01 1.614204071439e-01
5.222173913043e+01 1.605466251073e-01
5.255585284281e+01 1.596807612099e-01
