T	M
5.222173913043e+01 2.991754164243e-03
5.255585284281e+01 2.950500759339e-03
5.288996655518e+01 2.910753574281e-03
5.322408026756e+01 2.872440627087e-03
5.355819397993e+01 2.835493653415e-03
5.389230769231e+01 2.799847996387e-03
5.422642140468e+01 2.765442793942e-03
5.456053511706e+01 2.732220086639e-03
5.489464882943e+01 2.700125376084e-03
5.522876254181e+01 2.669107094161e-03
5.556287625418e+01 2.639115915790e-03
5.589698996656e+01 2.610105884829e-03
5.623110367893e+01 2.582033354807e-03
5.656521739130e+01 2.554856403232e-03
5.689933110368e+01 2.528535938784e-03
5.723344481605e+01 2.503034894872e-03
5.756755852843e+01 2.478317821070e-03
5.790167224080e+01 2.454351300532e-03
5.823578595318e+01 2.431103899427e-03
5.856989966555e+01 2.408545098629e-03
5.890401337793e+01 2.386646825829e-03
5.923812709030e+01 2.365381781440e-03
5.957224080268e+01 2.344724475807e-03
5.990635451505e+01 2.324650316321e-03
6.024046822742e+01 2.305136054596e-03
6.057458193980e+01 2.286159767724e-03
6.090869565217e+01 2.267700383157e-03
6.124280936455e+01 2.249738198682e-03
6.157692307692e+01 2.232253946555e-03
6.191103678930e+01 2.215229519738e-03
6.224515050167e+01 2.198647920164e-03
6.257926421405e+01 2.182492553815e-03
6.291337792642e+01 2.166748046305e-03
6.324749163880e+01 2.151399017194e-03
6.358160535117e+01 2.136431617492e-03
6.391571906355e+01 2.121832134852e-03
6.424983277592e+01 2.107587625661e-03
6.458394648829e+01 2.093685434664e-03
6.491806020067e+01 2.080113987842e-03
6.525217391304e+01 2.066861941924e-03
6.558628762542e+01 2.053918401412e-03
6.592040133779e+01 2.041273063233e-03
6.625451505017e+01 2.028915896600e-03
6.658862876254e+01 2.016837506480e-03
6.692274247492e+01 2.005028555013e-03
6.725685618729e+01 1.993480792570e-03
6.759096989967e+01 1.982185381882e-03
6.792508361204e+01 1.971134667093e-03
6.825919732441e+01 1.960320644660e-03
6.859331103679e+01 1.949736219700e-03
6.892742474916e+01 1.939374192374e-03
6.926153846154e+01 1.929227636342e-03
6.959565217391e+01 1.919290237622e-03
6.992976588629e+01 1.909555633203e-03
7.026387959866e+01 1.900017803584e-03
7.059799331104e+01 1.890670812398e-03
7.093210702341e+01 1.881509276215e-03
7.126622073579e+01 1.872527715719e-03
7.160033444816e+01 1.863720854370e-03
7.193444816054e+01 1.855083993122e-03
7.226856187291e+01 1.846612182789e-03
7.260267558528e+01 1.838300839827e-03
7.293678929766e+01 1.830145400965e-03
7.327090301003e+01 1.822141696962e-03
7.360501672241e+01 1.814285458811e-03
7.393913043478e+01 1.806572915556e-03
7.427324414716e+01 1.798999954245e-03
7.460735785953e+01 1.791563191291e-03
7.494147157191e+01 1.784258709501e-03
7.527558528428e+01 1.777083165954e-03
7.560969899666e+01 1.770033259676e-03
7.594381270903e+01 1.763105676180e-03
7.627792642140e+01 1.756297440720e-03
7.661204013378e+01 1.749605342316e-03
7.694615384615e+01 1.743026519296e-03
7.728026755853e+01 1.736558206474e-03
7.761438127090e+01 1.730197611219e-03
7.794849498328e+01 1.723942200875e-03
7.828260869565e+01 1.717789295120e-03
7.861672240803e+01 1.711736343271e-03
7.895083612040e+01 1.705781169581e-03
7.928494983278e+01 1.699921211943e-03
7.961906354515e+01 1.694154492222e-03
7.995317725753e+01 1.688478536283e-03
8.028729096990e+01 1.682891388091e-03
8.062140468227e+01 1.677391012196e-03
8.095551839465e+01 1.671975340444e-03
8.128963210702e+01 1.666642455823e-03
8.162374581940e+01 1.661390499947e-03
8.195785953177e+01 1.656217740024e-03
8.229197324415e+01 1.651122333960e-03
8.262608695652e+01 1.646102552377e-03
8.296020066890e+01 1.641156706100e-03
8.329431438127e+01 1.636283236987e-03
8.362842809365e+01 1.631480571438e-03
8.396254180602e+01 1.626747283262e-03
8.429665551839e+01 1.622081749796e-03
8.463076923077e+01 1.617482561448e-03
8.496488294314e+01 1.612948245062e-03
8.529899665552e+01 1.608477690015e-03
8.563311036789e+01 1.604069302318e-03
8.596722408027e+01 1.599721980201e-03
8.630133779264e+01 1.595434377388e-03
8.663545150502e+01 1.591205220146e-03
8.696956521739e+01 1.587033489657e-03
8.730367892977e+01 1.582917872119e-03
8.763779264214e+01 1.578857393486e-03
8.797190635452e+01 1.574850886620e-03
8.830602006689e+01 1.570897297218e-03
8.864013377926e+01 1.566995463974e-03
8.897424749164e+01 1.563144539751e-03
8.930836120401e+01 1.559343558332e-03
8.964247491639e+01 1.555591303490e-03
8.997658862876e+01 1.551887261262e-03
9.031070234114e+01 1.548230189824e-03
9.064481605351e+01 1.544619293113e-03
9.097892976589e+01 1.541053749307e-03
9.131304347826e+01 1.537532582988e-03
9.164715719064e+01 1.534055109782e-03
9.198127090301e+01 1.530620478145e-03
9.231538461538e+01 1.527227932824e-03
9.264949832776e+01 1.523876611756e-03
9.298361204013e+01 1.520565865344e-03
9.331772575251e+01 1.517294961147e-03
9.365183946488e+01 1.514063091051e-03
9.398595317726e+01 1.510869672743e-03
9.432006688963e+01 1.507713953595e-03
9.465418060201e+01 1.504595325113e-03
9.498829431438e+01 1.501513080999e-03
9.532240802676e+01 1.498466641066e-03
9.565652173913e+01 1.495455409273e-03
9.599063545151e+01 1.492478641631e-03
9.632474916388e+01 1.489535873212e-03
9.665886287625e+01 1.486626548315e-03
9.699297658863e+01 1.483749959637e-03
9.732709030100e+01 1.480905742421e-03
9.766120401338e+01 1.478093230521e-03
9.799531772575e+01 1.475311901928e-03
9.832943143813e+01 1.472561313894e-03
9.866354515050e+01 1.469840932165e-03
9.899765886288e+01 1.467150140696e-03
9.933177257525e+01 1.464488619035e-03
9.966588628763e+01 1.461855829976e-03
1.000000000000e+02 1.459251393650e-03
