T	M
1.000000000000e-02 1
1.000000000000e-01 1.000003669580e+00
1.154743222794e-01 1.000002603763e+00
1.309486445588e-01 1.000002603763e+00
1.464229668382e-01 1.000001656371e+00
1.618972891176e-01 1.000001893219e+00
1.773716113970e-01 1.000001893219e+00
1.928459336764e-01 1.000000886615e+00
2.083202559557e-01 1.000000649768e+00
2.237945782351e-01 1.000000294496e+00
2.392689005145e-01 9.999997319821e-01
2.547432227939e-01 9.999970378416e-01
2.702175450733e-01 9.999938700048e-01
2.856918673527e-01 9.999883929037e-01
3.011661896321e-01 9.999792742742e-01
3.166405119115e-01 9.999648562032e-01
3.321148341909e-01 9.999446649620e-01
3.475891564703e-01 9.999160656428e-01
3.630634787497e-01 9.998767786037e-01
3.785378010291e-01 9.998247314349e-01
3.940121233085e-01 9.997570524332e-01
4.094864455878e-01 9.996711659629e-01
4.249607678672e-01 9.995644371854e-01
4.404350901466e-01 9.994334619706e-01
4.559094124260e-01 9.992755614374e-01
4.713837347054e-01 9.990878498384e-01
4.868580569848e-01 9.988671756638e-01
5.023323792642e-01 9.986104326016e-01
5.178067015436e-01 9.983147076668e-01
5.332810238230e-01 9.979771334885e-01
5.487553461024e-01 9.975941798341e-01
5.642296683818e-01 9.971633090698e-01
5.797039906612e-01 9.966811596938e-01
5.951783129406e-01 9.961450388068e-01
6.106526352199e-01 9.955518895060e-01
6.261269574993e-01 9.948989266702e-01
6.416012797787e-01 9.941829750287e-01
6.570756020581e-01 9.934011623983e-01
6.725499243375e-01 9.925507456390e-01
6.880242466169e-01 9.916281994752e-01
7.034985688963e-01 9.906309396353e-01
7.189728911757e-01 9.895555613216e-01
7.344472134551e-01 9.883994118838e-01
7.499215357345e-01 9.871590701094e-01
7.653958580139e-01 9.858313583693e-01
7.808701802933e-01 9.844129519641e-01
7.963445025727e-01 9.829007327393e-01
8.118188248520e-01 9.812906859486e-01
8.272931471314e-01 9.795793613373e-01
8.427674694108e-01 9.777631787189e-01
8.582417916902e-01 9.758378751673e-01
8.737161139696e-01 9.737997069261e-01
8.891904362490e-01 9.716441699443e-01
9.046647585284e-01 9.693666416150e-01
9.201390808078e-01 9.669624338997e-01
9.356134030872e-01 9.644261297260e-01
9.510877253666e-01 9.617523032512e-01
9.665620476460e-01 9.589351539450e-01
9.820363699254e-01 9.559680007319e-01
9.975106922048e-01 9.528443842876e-01
1.012985014484e+00 9.495567200626e-01
1.028459336764e+00 9.460968701220e-01
1.043933659043e+00 9.424558672437e-01
1.059407981322e+00 9.386239827933e-01
1.074882303602e+00 9.345906115991e-01
1.090356625881e+00 9.303436997245e-01
1.105830948160e+00 9.258699842545e-01
1.121305270440e+00 9.211547117074e-01
1.136779592719e+00 9.161811349493e-01
1.152253914999e+00 9.109302295382e-01
1.167728237278e+00 9.053806746819e-01
1.183202559557e+00 8.995076868341e-01
1.198676881837e+00 8.932826348125e-01
1.214151204116e+00 8.866727358303e-01
1.229625526396e+00 8.796389091615e-01
1.245099848675e+00 8.721349467336e-01
1.260574170954e+00 8.641056802446e-01
1.276048493234e+00 8.554837364321e-01
1.291522815513e+00 8.461867190418e-01
1.306997137793e+00 8.361108210248e-01
1.322471460072e+00 8.251237279264e-01
1.337945782351e+00 8.130524768525e-01
1.353420104631e+00 7.996642693636e-01
1.368894426910e+00 7.846350100840e-01
1.384368749190e+00 7.674927456529e-01
1.399843071469e+00 7.475104996499e-01
1.415317393748e+00 7.234822155086e-01
1.430791716028e+00 6.932119185983e-01
1.446266038307e+00 6.522680673894e-01
1.461740360587e+00 5.910948822465e-01
1.477214682866e+00 4.920695574642e-01
1.492689005145e+00 0.000000000000e+00
1.508163327425e+00 0.000000000000e+00
1.523637649704e+00 0.000000000000e+00
1.539111971983e+00 0.000000000000e+00
1.554586294263e+00 0.000000000000e+00
1.570060616542e+00 0.000000000000e+00
1.585534938822e+00 0.000000000000e+00
1.601009261101e+00 0.000000000000e+00
1.616483583380e+00 0.000000000000e+00
1.631957905660e+00 0.000000000000e+00
