T	M
1.000000000000e-02 1
1.000000000000e-01 1.000127526734e+00
1.445775415176e-01 1.000111300923e+00
1.891550830352e-01 1.000175970244e+00
2.337326245527e-01 9.999258067575e-01
2.783101660703e-01 9.999398686837e-01
3.228877075879e-01 9.999076007988e-01
3.674652491055e-01 9.999600300521e-01
4.120427906230e-01 9.999396024356e-01
4.566203321406e-01 9.998827012570e-01
5.011978736582e-01 9.997613215800e-01
5.457754151758e-01 9.995613844616e-01
5.903529566933e-01 9.992571382322e-01
6.349304982109e-01 9.987829632237e-01
6.795080397285e-01 9.981178352083e-01
7.240855812461e-01 9.971992951986e-01
7.686631227636e-01 9.960557823674e-01
8.132406642812e-01 9.946891277537e-01
8.578182057988e-01 9.929547906895e-01
9.023957473164e-01 9.908965325425e-01
9.469732888339e-01 9.884908303222e-01
9.915508303515e-01 9.857281386038e-01
1.036128371869e+00 9.825920535643e-01
1.080705913387e+00 9.790909061177e-01
1.125283454904e+00 9.752130672353e-01
1.169860996422e+00 9.709712787262e-01
1.214438537939e+00 9.663345331826e-01
1.259016079457e+00 9.613203642053e-01
1.303593620975e+00 9.559004745217e-01
1.348171162492e+00 9.501358486292e-01
1.392748704010e+00 9.440006547043e-01
1.437326245527e+00 9.374987266895e-01
1.481903787045e+00 9.306349683551e-01
1.526481328562e+00 9.234177994775e-01
1.571058870080e+00 9.158459332575e-01
1.615636411598e+00 9.079285031305e-01
1.660213953115e+00 8.996649772314e-01
1.704791494633e+00 8.910754708893e-01
1.749369036150e+00 8.821594463408e-01
1.793946577668e+00 8.729363538111e-01
1.838524119185e+00 8.633855315631e-01
1.883101660703e+00 8.535249360257e-01
1.927679202221e+00 8.433613838492e-01
1.972256743738e+00 8.328984843671e-01
2.016834285256e+00 8.221405563348e-01
2.061411826773e+00 8.110911609736e-01
2.105989368291e+00 7.997542632918e-01
2.150566909808e+00 7.881362020357e-01
2.195144451326e+00 7.762346304869e-01
2.239721992844e+00 7.640501217837e-01
2.284299534361e+00 7.515981871654e-01
2.328877075879e+00 7.388765478900e-01
2.373454617396e+00 7.258885593581e-01
2.418032158914e+00 7.126372104026e-01
2.462609700432e+00 6.991243737505e-01
2.507187241949e+00 6.853528850784e-01
2.551764783467e+00 6.713229152429e-01
2.596342324984e+00 6.570346705051e-01
2.640919866502e+00 6.424880767462e-01
2.685497408019e+00 6.276851324417e-01
2.730074949537e+00 6.126210520500e-01
2.774652491055e+00 5.972980963051e-01
2.819230032572e+00 5.817168132948e-01
2.863807574090e+00 5.658774598360e-01
2.908385115607e+00 5.497791616847e-01
2.952962657125e+00 5.334214907358e-01
2.997540198642e+00 5.168008785268e-01
3.042117740160e+00 4.999130099047e-01
3.086695281678e+00 4.827531456974e-01
3.131272823195e+00 4.653166201985e-01
3.175850364713e+00 4.475994472751e-01
3.220427906230e+00 4.295984744319e-01
3.265005447748e+00 4.113094340166e-01
3.309582989265e+00 3.927264566942e-01
3.354160530783e+00 3.738390716590e-01
3.398738072301e+00 3.546351913929e-01
3.443315613818e+00 3.351029803477e-01
3.487893155336e+00 3.152330164126e-01
3.532470696853e+00 2.950145313230e-01
3.577048238371e+00 2.744292049285e-01
3.621625779888e+00 2.534511867395e-01
3.666203321406e+00 2.320554308490e-01
3.710780862924e+00 2.102185999125e-01
3.755358404441e+00 1.878996216086e-01
3.799935945959e+00 1.650427433256e-01
3.844513487476e+00 1.415913822617e-01
3.889091028994e+00 1.174431037756e-01
3.933668570512e+00 9.246873349169e-02
3.978246112029e+00 6.693925607853e-02
4.022823653547e+00 4.479718262661e-02
4.067401195064e+00 3.046101832332e-02
4.111978736582e+00 0.000000000000e+00
4.156556278099e+00 0.000000000000e+00
4.201133819617e+00 0.000000000000e+00
4.245711361135e+00 0.000000000000e+00
4.290288902652e+00 0.000000000000e+00
4.334866444170e+00 0.000000000000e+00
4.379443985687e+00 0.000000000000e+00
4.424021527205e+00 0.000000000000e+00
4.468599068722e+00 0.000000000000e+00
4.513176610240e+00 0.000000000000e+00
