T	M
1.000000000000e-02 1
1.000000000000e-01 9.999989326235e-01
1.107244205183e-01 9.999988141999e-01
1.214488410366e-01 9.999990510472e-01
1.321732615549e-01 9.999990510472e-01
1.428976820732e-01 9.999990510472e-01
1.536221025915e-01 9.999990510472e-01
1.643465231098e-01 9.999992878946e-01
1.750709436281e-01 9.999991694709e-01
1.857953641465e-01 9.999990510472e-01
1.965197846648e-01 9.999992286828e-01
2.072442051831e-01 9.999989622294e-01
2.179686257014e-01 9.999984885345e-01
2.286930462197e-01 9.999978668095e-01
2.394174667380e-01 9.999962976952e-01
2.501418872563e-01 9.999940772502e-01
2.608663077746e-01 9.999908798072e-01
2.715907282929e-01 9.999858467980e-01
2.823151488112e-01 9.999790374270e-01
2.930395693295e-01 9.999692378623e-01
3.037639898478e-01 9.999560632253e-01
3.144884103661e-01 9.999391286253e-01
3.252128308844e-01 9.999170130078e-01
3.359372514027e-01 9.998890058475e-01
3.466616719210e-01 9.998545150029e-01
3.573860924394e-01 9.998116754452e-01
3.681105129577e-01 9.997600430927e-01
3.788349334760e-01 9.996981970308e-01
3.895593539943e-01 9.996250420021e-01
4.002837745126e-01 9.995392165017e-01
4.110081950309e-01 9.994393739353e-01
4.217326155492e-01 9.993244342572e-01
4.324570360675e-01 9.991928441484e-01
4.431814565858e-01 9.990433761553e-01
4.539058771041e-01 9.988743299283e-01
4.646302976224e-01 9.986845972821e-01
4.753547181407e-01 9.984725826338e-01
4.860791386590e-01 9.982368688117e-01
4.968035591773e-01 9.979756259078e-01
5.075279796956e-01 9.976878822904e-01
5.182524002139e-01 9.973717371615e-01
5.289768207323e-01 9.970256314378e-01
5.397012412506e-01 9.966478753608e-01
5.504256617689e-01 9.962370032678e-01
5.611500822872e-01 9.957910804073e-01
5.718745028055e-01 9.953086328695e-01
5.825989233238e-01 9.947875718175e-01
5.933233438421e-01 9.942262847238e-01
6.040477643604e-01 9.936227671984e-01
6.147721848787e-01 9.929748149534e-01
6.254966053970e-01 9.922808051433e-01
6.362210259153e-01 9.915379761540e-01
6.469454464336e-01 9.907444876448e-01
6.576698669519e-01 9.898977172486e-01
6.683942874702e-01 9.889951428766e-01
6.791187079885e-01 9.880339940084e-01
6.898431285068e-01 9.870115447402e-01
7.005675490252e-01 9.859244744588e-01
7.112919695435e-01 9.847695573430e-01
7.220163900618e-01 9.835430381222e-01
7.327408105801e-01 9.822410872292e-01
7.434652310984e-01 9.808594434735e-01
7.541896516167e-01 9.793932005770e-01
7.649140721350e-01 9.778372789546e-01
7.756384926533e-01 9.761857681530e-01
7.863629131716e-01 9.744321389564e-01
7.970873336899e-01 9.725690129299e-01
8.078117542082e-01 9.705880154486e-01
8.185361747265e-01 9.684796135871e-01
8.292605952448e-01 9.662326148371e-01
8.399850157631e-01 9.638342782343e-01
8.507094362814e-01 9.612692514972e-01
8.614338567998e-01 9.585197966389e-01
8.721582773181e-01 9.555641569639e-01
8.828826978364e-01 9.523763796054e-01
8.936071183547e-01 9.489241475797e-01
9.043315388730e-01 9.451680145882e-01
9.150559593913e-01 9.410580117744e-01
9.257803799096e-01 9.365306052011e-01
9.365048004279e-01 9.315041517726e-01
9.472292209462e-01 9.258715058642e-01
9.579536414645e-01 9.194910534049e-01
9.686780619828e-01 9.121717642671e-01
9.794024825011e-01 9.036527660739e-01
9.901269030194e-01 8.935713189744e-01
1.000851323538e+00 8.814157497525e-01
1.011575744056e+00 8.664527774412e-01
1.022300164574e+00 8.476194604203e-01
1.033024585093e+00 8.233686365737e-01
1.043749005611e+00 7.914827598059e-01
1.054473426129e+00 7.489707859604e-01
1.065197846648e+00 0.000000000000e+00
1.075922267166e+00 0.000000000000e+00
1.086646687684e+00 0.000000000000e+00
1.097371108202e+00 0.000000000000e+00
1.108095528721e+00 0.000000000000e+00
1.118819949239e+00 0.000000000000e+00
1.129544369757e+00 0.000000000000e+00
1.140268790276e+00 0.000000000000e+00
1.150993210794e+00 0.000000000000e+00
1.161717631312e+00 0.000000000000e+00
100 0
