T	M
1.000000000000e-02 1
1.000000000000e-01 1
4.341137123746e-01 9.998307347133e-01
7.682274247492e-01 9.951014799692e-01
1.102341137124e+00 9.861459069381e-01
1.436454849498e+00 9.780259753211e-01
1.770568561873e+00 9.583627137442e-01
2.104682274247e+00 9.380895767341e-01
2.438795986622e+00 9.042550983037e-01
2.772909698997e+00 8.688461728742e-01
3.107023411371e+00 8.327204029540e-01
3.441137123746e+00 7.978079442664e-01
3.775250836120e+00 7.641253338439e-01
4.109364548495e+00 7.300140345470e-01
4.443478260870e+00 6.980887945193e-01
4.777591973244e+00 6.720262725746e-01
5.111705685619e+00 6.417854614370e-01
5.445819397993e+00 6.135519554205e-01
5.779933110368e+00 5.863981527514e-01
6.114046822742e+00 5.610350853052e-01
6.448160535117e+00 5.374155689260e-01
6.782274247492e+00 5.153991199181e-01
7.116387959866e+00 4.947651857554e-01
7.450501672241e+00 4.753117970992e-01
7.784615384615e+00 4.560003840950e-01
8.118729096990e+00 4.384464141484e-01
8.452842809365e+00 4.216731328327e-01
8.786956521739e+00 4.055511013872e-01
9.121070234114e+00 3.902702437196e-01
9.455183946488e+00 3.757237444637e-01
9.789297658863e+00 3.622948228845e-01
1.012341137124e+01 3.492548100647e-01
1.045752508361e+01 3.369549725305e-01
1.079163879599e+01 3.253630705132e-01
1.112575250836e+01 3.144381037642e-01
1.145986622074e+01 3.041287390961e-01
1.179397993311e+01 2.943832856999e-01
1.212809364548e+01 2.851358619212e-01
1.246220735786e+01 2.763369572369e-01
1.279632107023e+01 2.679540563775e-01
1.313043478261e+01 2.599124104681e-01
1.346454849498e+01 2.521948045823e-01
1.379866220736e+01 2.447750673354e-01
1.413277591973e+01 2.376321680245e-01
1.446688963211e+01 2.307006949688e-01
1.480100334448e+01 2.240837287320e-01
1.513511705686e+01 2.177182239494e-01
1.546923076923e+01 2.116002500913e-01
1.580334448161e+01 2.057208087267e-01
1.613745819398e+01 2.000888008512e-01
1.647157190635e+01 1.946932233999e-01
1.680568561873e+01 1.895280695532e-01
1.713979933110e+01 1.845865892817e-01
1.747391304348e+01 1.798584005041e-01
1.780802675585e+01 1.753340368454e-01
1.814214046823e+01 1.710023526421e-01
1.847625418060e+01 1.668516112077e-01
1.881036789298e+01 1.628722460877e-01
1.914448160535e+01 1.590472886612e-01
1.947859531773e+01 1.553676522332e-01
1.981270903010e+01 1.518222704958e-01
2.014682274247e+01 1.484009008242e-01
2.048093645485e+01 1.451029778122e-01
2.081505016722e+01 1.419023842456e-01
2.114916387960e+01 1.388008379558e-01
2.148327759197e+01 1.357921182190e-01
2.181739130435e+01 1.328710165219e-01
2.215150501672e+01 1.300331667129e-01
2.248561872910e+01 1.272741543812e-01
2.281973244147e+01 1.245931757640e-01
2.315384615385e+01 1.219870622137e-01
2.348795986622e+01 1.194541016423e-01
2.382207357860e+01 1.169929028818e-01
2.415618729097e+01 1.146021891015e-01
2.449030100334e+01 1.122777226658e-01
2.482441471572e+01 1.100252512182e-01
2.515852842809e+01 1.078402468275e-01
2.549264214047e+01 1.057215504285e-01
2.582675585284e+01 1.036678718625e-01
2.616086956522e+01 1.016777702959e-01
2.649498327759e+01 9.975004840099e-02
2.682909698997e+01 9.788217738871e-02
2.716321070234e+01 9.607264715309e-02
2.749732441472e+01 9.431942943095e-02
2.783143812709e+01 9.262038449599e-02
2.816555183946e+01 9.097331476983e-02
2.849966555184e+01 8.937594665638e-02
2.883377926421e+01 8.782599514580e-02
2.916789297659e+01 8.632248751787e-02
2.950200668896e+01 8.486052034670e-02
2.983612040134e+01 8.343921144127e-02
3.017023411371e+01 8.205642999668e-02
3.050434782609e+01 8.071011934765e-02
3.083846153846e+01 7.939833019925e-02
3.117257525084e+01 7.811923333591e-02
3.150668896321e+01 7.687110942959e-02
3.184080267559e+01 7.565237096677e-02
3.217491638796e+01 7.446157475009e-02
3.250903010033e+01 7.329739554889e-02
3.284314381271e+01 7.215865210911e-02
3.317725752508e+01 7.104427641392e-02
3.351137123746e+01 6.995332804590e-02
3.384548494983e+01 6.888499729091e-02
3.417959866221e+01 6.783801434651e-02
3.451371237458e+01 6.681281154868e-02
3.484782608696e+01 6.580831597545e-02
3.518193979933e+01 6.482406550400e-02
3.551605351171e+01 6.385965983347e-02
3.585016722408e+01 6.291474114041e-02
3.618428093645e+01 6.198901391372e-02
3.651839464883e+01 6.108219915834e-02
3.685250836120e+01 6.019399079607e-02
3.718662207358e+01 5.932427249404e-02
3.752073578595e+01 5.847275815207e-02
3.785484949833e+01 5.763922942164e-02
3.818896321070e+01 5.682345966853e-02
3.852307692308e+01 5.602521347715e-02
3.885719063545e+01 5.524424902628e-02
3.919130434783e+01 5.448030278653e-02
3.952541806020e+01 5.373310260504e-02
3.985953177258e+01 5.300234781066e-02
4.019364548495e+01 5.228774378733e-02
4.052775919732e+01 5.158915286994e-02
4.086187290970e+01 5.090583771409e-02
4.119598662207e+01 5.023764125598e-02
4.153010033445e+01 4.958418944291e-02
4.186421404682e+01 4.894509961162e-02
4.219832775920e+01 4.831997745465e-02
4.253244147157e+01 4.770842523785e-02
4.286655518395e+01 4.711003194847e-02
4.320066889632e+01 4.652438874575e-02
4.353478260870e+01 4.595108422285e-02
4.386889632107e+01 4.538970930294e-02
4.420301003344e+01 4.483985098647e-02
4.453712374582e+01 4.430110614483e-02
4.487123745819e+01 4.377308110238e-02
4.520535117057e+01 4.325538616654e-02
4.553946488294e+01 4.274763808722e-02
4.587357859532e+01 4.224947142292e-02
4.620769230769e+01 4.176052945583e-02
4.654180602007e+01 4.128046956346e-02
4.687591973244e+01 4.080896013605e-02
4.721003344482e+01 4.034569270006e-02
4.754414715719e+01 3.989036085863e-02
4.787826086957e+01 3.944268630956e-02
4.821237458194e+01 3.900239986375e-02
4.854648829431e+01 3.856925056670e-02
4.888060200669e+01 3.814300550089e-02
4.921471571906e+01 3.772344179937e-02
4.954882943144e+01 3.731035821013e-02
4.988294314381e+01 3.690356568294e-02
5.021705685619e+01 3.650288883924e-02
5.055117056856e+01 3.610817037498e-02
5.088528428094e+01 3.571927082224e-02
5.121939799331e+01 3.533603468399e-02
5.155351170569e+01 3.495835541276e-02
5.188762541806e+01 3.458611682371e-02
