T	M
1.000000000000e-02 1
1.000000000000e-01 1.000001774795e+00
1.130360720903e-01 1.000001656371e+00
1.260721441806e-01 1.000000708979e+00
1.391082162709e-01 1.000000945827e+00
1.521442883612e-01 9.999999984368e-01
1.651803604515e-01 9.999990510472e-01
1.782164325418e-01 9.999989918354e-01
1.912525046321e-01 9.999991694709e-01
2.042885767224e-01 9.999989326235e-01
2.173246488127e-01 9.999986069584e-01
2.303607209030e-01 9.999978964162e-01
2.433967929933e-01 9.999967417846e-01
2.564328650836e-01 9.999943733101e-01
2.694689371739e-01 9.999903172987e-01
2.825050092642e-01 9.999841592667e-01
2.955410813545e-01 9.999750998520e-01
3.085771534448e-01 9.999621620552e-01
3.216132255351e-01 9.999437767776e-01
3.346492976254e-01 9.999189374174e-01
3.476853697157e-01 9.998863117060e-01
3.607214418060e-01 9.998441825327e-01
3.737575138963e-01 9.997908328116e-01
3.867935859866e-01 9.997244862739e-01
3.998296580769e-01 9.996433075168e-01
4.128657301672e-01 9.995453427967e-01
4.259018022575e-01 9.994285793888e-01
4.389378743478e-01 9.992912561859e-01
4.519739464381e-01 9.991306509113e-01
4.650100185284e-01 9.989452399236e-01
4.780460906187e-01 9.987326275197e-01
4.910821627090e-01 9.984909067292e-01
5.041182347993e-01 9.982179203927e-01
5.171543068896e-01 9.979110250245e-01
5.301903789799e-01 9.975683622981e-01
5.432264510702e-01 9.971876032616e-01
5.562625231605e-01 9.967667170079e-01
5.692985952508e-01 9.963035869165e-01
5.823346673411e-01 9.957956139549e-01
5.953707394314e-01 9.952405873560e-01
6.084068115217e-01 9.946362279505e-01
6.214428836120e-01 9.939803515071e-01
6.344789557023e-01 9.932703104096e-01
6.475150277926e-01 9.925037304766e-01
6.605510998829e-01 9.916783509137e-01
6.735871719732e-01 9.907913635073e-01
6.866232440635e-01 9.898402970415e-01
6.996593161538e-01 9.888223130623e-01
7.126953882441e-01 9.877344887022e-01
7.257314603344e-01 9.865741251885e-01
7.387675324247e-01 9.853381213433e-01
7.518036045150e-01 9.840230793373e-01
7.648396766053e-01 9.826258055642e-01
7.778757486956e-01 9.811426991908e-01
7.909118207859e-01 9.795697033115e-01
8.039478928762e-01 9.779033806449e-01
8.169839649665e-01 9.761389903216e-01
8.300200370568e-01 9.742722364072e-01
8.430561091471e-01 9.722980564143e-01
8.560921812374e-01 9.702111884031e-01
8.691282533277e-01 9.680056636448e-01
8.821643254180e-01 9.656755787013e-01
8.952003975083e-01 9.632136175357e-01
9.082364695986e-01 9.606126818728e-01
9.212725416889e-01 9.578641724404e-01
9.343086137792e-01 9.549588226469e-01
9.473446858695e-01 9.518863987645e-01
9.603807579598e-01 9.486352274910e-01
9.734168300501e-01 9.451923305135e-01
9.864529021404e-01 9.415425978367e-01
9.994889742307e-01 9.376691473802e-01
1.012525046321e+00 9.335523549214e-01
1.025561118411e+00 9.291693785620e-01
1.038597190502e+00 9.244935799967e-01
1.051633262592e+00 9.194930527987e-01
1.064669334682e+00 9.141298437883e-01
1.077705406773e+00 9.083579047444e-01
1.090741478863e+00 9.021202856175e-01
1.103777550953e+00 8.953459636549e-01
1.116813623043e+00 8.879440480685e-01
1.129849695134e+00 8.797962713812e-01
1.142885767224e+00 8.707440471636e-01
1.155921839314e+00 8.605689198361e-01
1.168957911405e+00 8.489592837666e-01
1.181993983495e+00 8.354530537701e-01
1.195030055585e+00 8.193348648194e-01
1.208066127676e+00 7.994457527253e-01
1.221102199766e+00 7.738219501024e-01
1.234138271856e+00 7.390210886933e-01
1.247174343946e+00 6.890342406407e-01
1.260210416037e+00 6.147158870880e-01
1.273246488127e+00 0.000000000000e+00
1.286282560217e+00 0.000000000000e+00
1.299318632308e+00 0.000000000000e+00
1.312354704398e+00 0.000000000000e+00
1.325390776488e+00 0.000000000000e+00
1.338426848579e+00 0.000000000000e+00
1.351462920669e+00 0.000000000000e+00
1.364498992759e+00 0.000000000000e+00
1.377535064849e+00 0.000000000000e+00
1.390571136940e+00 0.000000000000e+00
100 0
