T	M
1.000000000000e-02 1
1.000000000000e-01 9.999712207680e-01
1.297757690793e-01 9.999711023476e-01
1.595515381586e-01 1.000012077470e+00
1.893273072379e-01 1.000012077470e+00
2.191030763172e-01 1.000012077470e+00
2.488788453965e-01 1.000011870226e+00
2.786546144758e-01 9.999956462896e-01
3.084303835551e-01 9.999880376252e-01
3.382061526344e-01 9.999799256578e-01
3.679819217137e-01 9.999621918313e-01
3.977576907930e-01 9.999282340699e-01
4.275334598723e-01 9.998694075034e-01
4.573092289516e-01 9.997754685525e-01
4.870849980309e-01 9.996344713300e-01
5.168607671102e-01 9.994341146619e-01
5.466365361895e-01 9.991687821069e-01
5.764123052688e-01 9.988136106099e-01
6.061880743481e-01 9.983552228681e-01
6.359638434274e-01 9.977860511254e-01
6.657396125067e-01 9.970933394073e-01
6.955153815860e-01 9.962658142344e-01
7.252911506653e-01 9.952930365097e-01
7.550669197446e-01 9.941653012248e-01
7.848426888239e-01 9.928736133163e-01
8.146184579032e-01 9.914098414427e-01
8.443942269825e-01 9.897665923396e-01
8.741699960618e-01 9.879369288291e-01
9.039457651411e-01 9.859145721739e-01
9.337215342203e-01 9.836863144230e-01
9.634973032996e-01 9.812658614570e-01
9.932730723789e-01 9.786322776956e-01
1.023048841458e+00 9.757866515685e-01
1.052824610538e+00 9.727240604652e-01
1.082600379617e+00 9.694408434485e-01
1.112376148696e+00 9.659336050398e-01
1.142151917775e+00 9.621992062340e-01
1.171927686855e+00 9.582347632599e-01
1.201703455934e+00 9.540377798923e-01
1.231479225013e+00 9.496056774686e-01
1.261254994093e+00 9.449362972177e-01
1.291030763172e+00 9.400275928792e-01
1.320806532251e+00 9.348770571042e-01
1.350582301331e+00 9.294827422154e-01
1.380358070410e+00 9.238459592779e-01
1.410133839489e+00 9.179563067588e-01
1.439909608568e+00 9.118163394122e-01
1.469685377648e+00 9.054225178897e-01
1.499461146727e+00 8.987717140528e-01
1.529236915806e+00 8.918606985865e-01
1.559012684886e+00 8.846857534346e-01
1.588788453965e+00 8.772430464898e-01
1.618564223044e+00 8.695283641742e-01
1.648339992124e+00 8.615371395945e-01
1.678115761203e+00 8.532643899087e-01
1.707891530282e+00 8.447049285836e-01
1.737667299361e+00 8.358527358652e-01
1.767443068441e+00 8.267015119740e-01
1.797218837520e+00 8.172433769178e-01
1.826994606599e+00 8.074716476419e-01
1.856770375679e+00 7.973769139285e-01
1.886546144758e+00 7.869492113001e-01
1.916321913837e+00 7.761776905198e-01
1.946097682916e+00 7.650501374575e-01
1.975873451996e+00 7.535532573557e-01
2.005649221075e+00 7.416723108343e-01
2.035424990154e+00 7.293910280974e-01
2.065200759234e+00 7.166913431548e-01
2.094976528313e+00 7.035523634225e-01
2.124752297392e+00 6.899526064659e-01
2.154528066472e+00 6.758652883722e-01
2.184303835551e+00 6.612607134329e-01
2.214079604630e+00 6.461050027132e-01
2.243855373709e+00 6.303594042819e-01
2.273631142789e+00 6.139798320119e-01
2.303406911868e+00 5.969152265330e-01
2.333182680947e+00 5.791061649619e-01
2.362958450027e+00 5.604816775893e-01
2.392734219106e+00 5.409565524333e-01
2.422509988185e+00 5.204273925380e-01
2.452285757265e+00 4.987682251964e-01
2.482061526344e+00 4.758228836538e-01
2.511837295423e+00 4.513912270347e-01
2.541613064502e+00 4.252086643109e-01
2.571388833582e+00 3.969181220175e-01
2.601164602661e+00 3.660187540623e-01
2.630940371740e+00 3.317565579846e-01
2.660716140820e+00 2.929146070109e-01
2.690491909899e+00 2.472661696941e-01
2.720267678978e+00 1.899774502871e-01
2.750043448058e+00 1.184072349565e-01
2.779819217137e+00 0.000000000000e+00
2.809594986216e+00 0.000000000000e+00
2.839370755295e+00 0.000000000000e+00
2.869146524375e+00 0.000000000000e+00
2.898922293454e+00 0.000000000000e+00
2.928698062533e+00 0.000000000000e+00
2.958473831613e+00 0.000000000000e+00
2.988249600692e+00 0.000000000000e+00
3.018025369771e+00 0.000000000000e+00
3.047801138851e+00 0.000000000000e+00
