T	M
1.000000000000e-02 1
1.000000000000e-01 1
5.351699372071e-01 1.000505591501e+00
9.703398744142e-01 9.969728315350e-01
1.405509811621e+00 9.716915171601e-01
1.840679748828e+00 9.262896041753e-01
2.275849686036e+00 8.661149620275e-01
2.711019623243e+00 7.981933428409e-01
3.146189560450e+00 7.264851114541e-01
3.581359497657e+00 6.553802028860e-01
4.016529434864e+00 5.866341523214e-01
4.451699372071e+00 5.210834335323e-01
4.886869309278e+00 4.598970436742e-01
5.322039246485e+00 4.036700244617e-01
5.757209183692e+00 3.521768621610e-01
6.192379120900e+00 3.054824661813e-01
6.627549058107e+00 2.637329623476e-01
7.062718995314e+00 2.265044402821e-01
7.497888932521e+00 1.934213513677e-01
7.933058869728e+00 1.644046182735e-01
8.368228806935e+00 1.390604338906e-01
8.803398744142e+00 1.169395613541e-01
9.238568681349e+00 9.786165630727e-02
9.673738618556e+00 8.149199578107e-02
1.010890855576e+01 6.744680662920e-02
1.054407849297e+01 5.553856457045e-02
1.097924843018e+01 4.548567111140e-02
1.141441836738e+01 3.700897507046e-02
1.184958830459e+01 2.995152473389e-02
1.228475824180e+01 2.408501444697e-02
1.271992817901e+01 1.923479539313e-02
1.315509811621e+01 1.527054574139e-02
1.359026805342e+01 1.203692050364e-02
1.402543799063e+01 9.496024720377e-03
1.446060792783e+01 7.624566984539e-03
1.489577786504e+01 6.297396370309e-03
1.533094780225e+01 5.356160520279e-03
1.576611773946e+01 4.674112317005e-03
1.620128767666e+01 4.165554616043e-03
1.663645761387e+01 3.775393048748e-03
1.707162755108e+01 3.468237530869e-03
1.750679748828e+01 3.220924355384e-03
1.794196742549e+01 3.017899875939e-03
1.837713736270e+01 2.848438890874e-03
1.881230729991e+01 2.704953815787e-03
1.924747723711e+01 2.581948989677e-03
1.968264717432e+01 2.475358479328e-03
2.011781711153e+01 2.382115499900e-03
2.055298704873e+01 2.299866718267e-03
2.098815698594e+01 2.226777864401e-03
2.142332692315e+01 2.161399428291e-03
2.185849686036e+01 2.102571621045e-03
2.229366679756e+01 2.049355265295e-03
2.272883673477e+01 2.000982282348e-03
2.316400667198e+01 1.956818635365e-03
2.359917660918e+01 1.916336069975e-03
2.403434654639e+01 1.879091478644e-03
2.446951648360e+01 1.844709844481e-03
2.490468642081e+01 1.812872129467e-03
2.533985635801e+01 1.783304990437e-03
2.577502629522e+01 1.755772885397e-03
2.621019623243e+01 1.730071960331e-03
2.664536616963e+01 1.706024743505e-03
2.708053610684e+01 1.683475803896e-03
2.751570604405e+01 1.662288774526e-03
2.795087598125e+01 1.642343426064e-03
2.838604591846e+01 1.623533327090e-03
2.882121585567e+01 1.605763779096e-03
2.925638579288e+01 1.588950426146e-03
2.969155573008e+01 1.573017856963e-03
3.012672566729e+01 1.557898247835e-03
3.056189560450e+01 1.543530719487e-03
3.099706554170e+01 1.529860353849e-03
3.143223547891e+01 1.516837451846e-03
3.186740541612e+01 1.504416740615e-03
3.230257535333e+01 1.492557423122e-03
3.273774529053e+01 1.481221938397e-03
3.317291522774e+01 1.470376391238e-03
3.360808516495e+01 1.459989492467e-03
3.404325510215e+01 1.450032701619e-03
3.447842503936e+01 1.440479655873e-03
3.491359497657e+01 1.431306287136e-03
3.534876491378e+01 1.422490251186e-03
3.578393485098e+01 1.414011097300e-03
3.621910478819e+01 1.405849763455e-03
3.665427472540e+01 1.397988660575e-03
3.708944466260e+01 1.390411458967e-03
3.752461459981e+01 1.383102932885e-03
3.795978453702e+01 1.376049206098e-03
3.839495447423e+01 1.369236944099e-03
3.883012441143e+01 1.362654013943e-03
3.926529434864e+01 0.000000000000e+00
3.970046428585e+01 0.000000000000e+00
4.013563422305e+01 0.000000000000e+00
4.057080416026e+01 0.000000000000e+00
4.100597409747e+01 0.000000000000e+00
4.144114403468e+01 0.000000000000e+00
4.187631397188e+01 0.000000000000e+00
4.231148390909e+01 0.000000000000e+00
4.274665384630e+01 0.000000000000e+00
4.318182378350e+01 0.000000000000e+00
