T	M
1.000000000000e-02 1
1.000000000000e-01 1.000585246165e+00
1.811762516633e-01 1.001286199185e+00
2.623525033266e-01 9.993989799589e-01
3.435287549900e-01 9.994130640641e-01
4.247050066533e-01 1.000373564629e+00
5.058812583166e-01 1.000030496978e+00
5.870575099799e-01 9.998012047470e-01
6.682337616433e-01 9.993508326206e-01
7.494100133066e-01 9.983839476034e-01
8.305862649699e-01 9.968093218277e-01
9.117625166332e-01 9.944465455235e-01
9.929387682966e-01 9.911906187758e-01
1.074115019960e+00 9.869616635848e-01
1.155291271623e+00 9.816765588006e-01
1.236467523287e+00 9.751504801843e-01
1.317643774950e+00 9.678397709810e-01
1.398820026613e+00 9.595577385530e-01
1.479996278277e+00 9.504046363567e-01
1.561172529940e+00 9.403190766904e-01
1.642348781603e+00 9.294286706022e-01
1.723525033266e+00 9.177573832877e-01
1.804701284930e+00 9.053681114619e-01
1.885877536593e+00 8.923097447661e-01
1.967053788256e+00 8.786190725230e-01
2.048230039920e+00 8.643168281300e-01
2.129406291583e+00 8.495000933528e-01
2.210582543246e+00 8.341897898443e-01
2.291758794910e+00 8.184260412355e-01
2.372935046573e+00 8.023166484228e-01
2.454111298236e+00 7.858009707546e-01
2.535287549900e+00 7.689692923033e-01
2.616463801563e+00 7.518687554913e-01
2.697640053226e+00 7.345072538696e-01
2.778816304890e+00 7.169232882862e-01
2.859992556553e+00 6.991440467199e-01
2.941168808216e+00 6.811672327428e-01
3.022345059880e+00 6.630618834518e-01
3.103521311543e+00 6.448349730202e-01
3.184697563206e+00 6.265098953026e-01
3.265873814870e+00 6.081259738277e-01
3.347050066533e+00 5.897065915639e-01
3.428226318196e+00 5.712773664489e-01
3.509402569860e+00 5.528680880896e-01
3.590578821523e+00 5.344789262065e-01
3.671755073186e+00 5.161348326724e-01
3.752931324850e+00 4.978452043996e-01
3.834107576513e+00 4.796273106590e-01
3.915283828176e+00 4.614991052740e-01
3.996460079840e+00 4.434800724149e-01
4.077636331503e+00 4.256004835972e-01
4.158812583166e+00 4.078792760559e-01
4.239988834830e+00 3.903355207523e-01
4.321165086493e+00 3.729830490616e-01
4.402341338156e+00 3.558331211714e-01
4.483517589820e+00 3.388920764685e-01
4.564693841483e+00 3.221734313841e-01
4.645870093146e+00 3.056955502487e-01
4.727046344810e+00 2.894804472357e-01
4.808222596473e+00 2.735502549758e-01
4.889398848136e+00 2.579224802559e-01
4.970575099799e+00 2.426075465566e-01
5.051751351463e+00 2.276119944822e-01
5.132927603126e+00 2.129449935883e-01
5.214103854789e+00 1.986242510088e-01
5.295280106453e+00 1.846731556083e-01
5.376456358116e+00 1.711129417126e-01
5.457632609779e+00 1.579554026380e-01
5.538808861443e+00 1.452053391334e-01
5.619985113106e+00 1.328724192516e-01
5.701161364769e+00 1.209785630681e-01
5.782337616433e+00 1.095483843677e-01
5.863513868096e+00 9.859397053065e-02
5.944690119759e+00 8.811869783960e-02
6.025866371423e+00 7.813851617304e-02
6.107042623086e+00 6.868094752598e-02
6.188218874749e+00 5.975821330233e-02
6.269395126413e+00 5.137493274554e-02
6.350571378076e+00 4.355735547460e-02
6.431747629739e+00 3.632382175951e-02
6.512923881403e+00 2.971004991290e-02
6.594100133066e+00 2.391083763979e-02
6.675276384729e+00 1.919282602374e-02
6.756452636393e+00 1.560714898574e-02
6.837628888056e+00 1.297019339847e-02
6.918805139719e+00 1.103325483101e-02
6.999981391383e+00 9.587356197486e-03
7.081157643046e+00 8.483336786243e-03
7.162333894709e+00 7.620392532543e-03
7.243510146373e+00 6.930987429928e-03
7.324686398036e+00 6.369369643706e-03
7.405862649699e+00 0.000000000000e+00
7.487038901363e+00 0.000000000000e+00
7.568215153026e+00 0.000000000000e+00
7.649391404689e+00 0.000000000000e+00
7.730567656353e+00 0.000000000000e+00
7.811743908016e+00 0.000000000000e+00
7.892920159679e+00 0.000000000000e+00
7.974096411342e+00 0.000000000000e+00
8.055272663006e+00 0.000000000000e+00
8.136448914669e+00 0.000000000000e+00
