T	M
1.000000000000e-02 1
1.000000000000e-01 1
4.341137123746e-01 1
7.682274247492e-01 .999
1.102341137124e+00 9.909811334056e-01
1.436454849498e+00 9.848166900636e-01
1.770568561873e+00 9.721483967083e-01
2.104682274247e+00 9.536334203160e-01
2.438795986622e+00 9.274213608950e-01
2.772909698997e+00 8.966755284142e-01
3.107023411371e+00 8.643468284225e-01
3.441137123746e+00 8.326492186674e-01
3.775250836120e+00 8.026346465648e-01
4.109364548495e+00 7.731621305565e-01
4.443478260870e+00 7.468953565298e-01
4.777591973244e+00 7.223066873763e-01
5.111705685619e+00 6.987842838800e-01
5.445819397993e+00 6.819801812593e-01
5.779933110368e+00 6.596582691642e-01
6.114046822742e+00 6.379425521450e-01
6.448160535117e+00 6.168753119760e-01
6.782274247492e+00 5.965741074616e-01
7.116387959866e+00 5.771521858745e-01
7.450501672241e+00 5.587018001543e-01
7.784615384615e+00 5.413074449128e-01
8.118729096990e+00 5.249256989186e-01
8.452842809365e+00 5.095655324244e-01
8.786956521739e+00 4.951749284668e-01
9.121070234114e+00 4.807481089430e-01
9.455183946488e+00 4.679783467315e-01
9.789297658863e+00 4.560326011852e-01
1.012341137124e+01 4.447357307276e-01
1.045752508361e+01 4.339874545611e-01
1.079163879599e+01 4.237155259092e-01
1.112575250836e+01 4.138564349643e-01
1.145986622074e+01 4.075169959127e-01
1.179397993311e+01 3.986528685249e-01
1.212809364548e+01 3.896843405564e-01
1.246220735786e+01 3.809852400614e-01
1.279632107023e+01 3.725471790007e-01
1.313043478261e+01 3.643507102756e-01
1.346454849498e+01 3.563980530955e-01
1.379866220736e+01 3.486887271507e-01
1.413277591973e+01 3.412235331881e-01
1.446688963211e+01 3.340041535520e-01
1.480100334448e+01 3.270318588094e-01
1.513511705686e+01 3.203069980538e-01
1.546923076923e+01 3.138476877088e-01
1.580334448161e+01 3.076130549417e-01
1.613745819398e+01 3.016162242156e-01
1.647157190635e+01 2.958562453222e-01
1.680568561873e+01 2.903236008292e-01
1.713979933110e+01 2.850106950963e-01
1.747391304348e+01 2.799081190326e-01
1.780802675585e+01 2.750059478993e-01
1.814214046823e+01 2.702937940009e-01
1.847625418060e+01 2.652458442078e-01
1.881036789298e+01 2.608897549066e-01
1.914448160535e+01 2.566286192114e-01
1.947859531773e+01 2.525773114578e-01
1.981270903010e+01 2.486547294663e-01
2.014682274247e+01 2.448662255133e-01
2.048093645485e+01 2.411957203908e-01
2.081505016722e+01 2.376326528054e-01
2.114916387960e+01 2.341698199343e-01
2.148327759197e+01 2.307997977260e-01
2.181739130435e+01 2.275158135914e-01
2.215150501672e+01 2.243117826053e-01
2.248561872910e+01 2.211822803475e-01
2.281973244147e+01 2.181225602147e-01
2.315384615385e+01 2.153372769992e-01
2.348795986622e+01 2.124023188487e-01
2.382207357860e+01 2.095263839990e-01
2.415618729097e+01 2.067069139091e-01
2.449030100334e+01 2.039417988589e-01
2.482441471572e+01 2.012323644800e-01
2.515852842809e+01 1.985710805797e-01
2.549264214047e+01 1.959599332525e-01
2.582675585284e+01 1.933980629653e-01
2.616086956522e+01 1.908848200690e-01
2.649498327759e+01 1.884196786604e-01
2.682909698997e+01 1.860023333685e-01
2.716321070234e+01 1.836323575608e-01
2.749732441472e+01 1.813095662725e-01
2.783143812709e+01 1.790337159956e-01
2.816555183946e+01 1.768045998952e-01
2.849966555184e+01 1.746219500028e-01
2.883377926421e+01 1.724855175307e-01
2.916789297659e+01 1.703949766635e-01
2.950200668896e+01 1.683499482493e-01
2.983612040134e+01 1.663600934644e-01
3.017023411371e+01 1.644046385045e-01
3.050434782609e+01 1.624932166016e-01
3.083846153846e+01 1.606239891534e-01
3.117257525084e+01 1.587987132007e-01
3.150668896321e+01 1.570154120892e-01
3.184080267559e+01 1.552732714872e-01
3.217491638796e+01 1.535712899057e-01
3.250903010033e+01 1.519088464258e-01
3.284314381271e+01 1.502848461494e-01
3.317725752508e+01 1.486983027277e-01
3.351137123746e+01 1.471481962060e-01
3.384548494983e+01 1.456334766364e-01
3.417959866221e+01 1.441530984681e-01
3.451371237458e+01 1.427059823067e-01
3.484782608696e+01 1.412910478745e-01
3.518193979933e+01 1.399072047729e-01
3.551605351171e+01 1.385533634595e-01
3.585016722408e+01 1.372284570872e-01
3.618428093645e+01 1.358984570591e-01
3.651839464883e+01 1.346285376436e-01
3.685250836120e+01 1.333843919690e-01
3.718662207358e+01 1.321650100080e-01
3.752073578595e+01 1.309654229618e-01
3.785484949833e+01 1.297926593310e-01
3.818896321070e+01 1.286417679045e-01
3.852307692308e+01 1.275123326451e-01
3.885719063545e+01 1.264025048488e-01
3.919130434783e+01 1.253119391288e-01
3.952541806020e+01 1.242398304380e-01
3.985953177258e+01 1.231854078822e-01
4.019364548495e+01 1.221479373051e-01
4.052775919732e+01 1.211267224381e-01
4.086187290970e+01 1.201211028323e-01
4.119598662207e+01 1.191304436797e-01
4.153010033445e+01 1.181541626356e-01
4.186421404682e+01 1.171917025960e-01
4.219832775920e+01 1.162425360881e-01
4.253244147157e+01 1.153061828307e-01
4.286655518395e+01 1.143821962989e-01
4.320066889632e+01 1.134701327229e-01
4.353478260870e+01 1.125696108639e-01
4.386889632107e+01 1.116802729249e-01
4.420301003344e+01 1.108017824043e-01
4.453712374582e+01 1.099338434843e-01
4.487123745819e+01 1.090761537591e-01
4.520535117057e+01 1.082284760249e-01
4.553946488294e+01 1.073905758088e-01
4.587357859532e+01 1.065622374270e-01
4.620769230769e+01 1.057432751888e-01
4.654180602007e+01 1.049351074679e-01
4.687591973244e+01 1.041343881750e-01
4.721003344482e+01 1.033425783481e-01
4.754414715719e+01 1.025595584096e-01
4.787826086957e+01 1.017852205635e-01
4.821237458194e+01 1.010194572079e-01
4.854648829431e+01 1.002621976086e-01
4.888060200669e+01 9.951335492871e-02
4.921471571906e+01 9.877285452256e-02
4.954882943144e+01 9.804064533384e-02
4.988294314381e+01 9.731666760390e-02
5.021705685619e+01 9.660089803259e-02
5.055117056856e+01 9.589324074092e-02
5.088528428094e+01 9.519367987190e-02
5.121939799331e+01 9.450217914567e-02
5.155351170569e+01 9.381869413847e-02
5.188762541806e+01 9.314319162980e-02
5.222173913043e+01 9.247563795927e-02
