T	M
1.000000000000e-02 1
1.000000000000e-01 1.000008169686e+00
1.213113685178e-01 1.000000708960e+00
1.426227370356e-01 1.000000708960e+00
1.639341055534e-01 1.000003551141e+00
1.852454740712e-01 1.000003551141e+00
2.065568425890e-01 9.999959128148e-01
2.278682111068e-01 9.999959128148e-01
2.491795796246e-01 9.999981036525e-01
2.704909481424e-01 9.999964161153e-01
2.918023166602e-01 9.999926561638e-01
3.131136851781e-01 9.999850474432e-01
3.344250536959e-01 9.999712214801e-01
3.557364222137e-01 9.999482472766e-01
3.770477907315e-01 9.999155916280e-01
3.983591592493e-01 9.998606429547e-01
4.196705277671e-01 9.997835785678e-01
4.409818962849e-01 9.996784477063e-01
4.622932648027e-01 9.995392404610e-01
4.836046333205e-01 9.993599766083e-01
5.049160018383e-01 9.991346464771e-01
5.262273703561e-01 9.988570632603e-01
5.475387388739e-01 9.985212627376e-01
5.688501073917e-01 9.981215182039e-01
5.901614759095e-01 9.976506575422e-01
6.114728444273e-01 9.971051749231e-01
6.327842129451e-01 9.964787174265e-01
6.540955814629e-01 9.957657803387e-01
6.754069499807e-01 9.949616780034e-01
6.967183184985e-01 9.940611746393e-01
7.180296870164e-01 9.930596225282e-01
7.393410555342e-01 9.919523169951e-01
7.606524240520e-01 9.907347800689e-01
7.819637925698e-01 9.894024264624e-01
8.032751610876e-01 9.879511568311e-01
8.245865296054e-01 9.863769497185e-01
8.458978981232e-01 9.846742646260e-01
8.672092666410e-01 9.828411259259e-01
8.885206351588e-01 9.808726788456e-01
9.098320036766e-01 9.787648399068e-01
9.311433721944e-01 9.765135750926e-01
9.524547407122e-01 9.741152965056e-01
9.737661092300e-01 9.715658953919e-01
9.950774777478e-01 9.688613589746e-01
1.016388846266e+00 9.659978588255e-01
1.037700214783e+00 9.629710365464e-01
1.059011583301e+00 9.597768892003e-01
1.080322951819e+00 9.564112424038e-01
1.101634320337e+00 9.528683418012e-01
1.122945688855e+00 9.491455003528e-01
1.144257057372e+00 9.452369431087e-01
1.165568425890e+00 9.411375908829e-01
1.186879794408e+00 9.368417751921e-01
1.208191162926e+00 9.323441375106e-01
1.229502531444e+00 9.276381915996e-01
1.250813899961e+00 9.227176175476e-01
1.272125268479e+00 9.175751471408e-01
1.293436636997e+00 9.122033755411e-01
1.314748005515e+00 9.065938849835e-01
1.336059374033e+00 9.007380876515e-01
1.357370742551e+00 8.946257733713e-01
1.378682111068e+00 8.882465125667e-01
1.399993479586e+00 8.815887133307e-01
1.421304848104e+00 8.746393674558e-01
1.442616216622e+00 8.673845523334e-01
1.463927585140e+00 8.598084786999e-01
1.485238953657e+00 8.518936330397e-01
1.506550322175e+00 8.436204461856e-01
1.527861690693e+00 8.349672362022e-01
1.549173059211e+00 8.259088811470e-01
1.570484427729e+00 8.164175205011e-01
1.591795796246e+00 8.064611603066e-01
1.613107164764e+00 7.960032518870e-01
1.634418533282e+00 7.850014345300e-01
1.655729901800e+00 7.734063340464e-01
1.677041270318e+00 7.611601815884e-01
1.698352638835e+00 7.481943897596e-01
1.719664007353e+00 7.344266375573e-01
1.740975375871e+00 7.197571928898e-01
1.762286744389e+00 7.040634094501e-01
1.783598112907e+00 6.871917026043e-01
1.804909481424e+00 6.689455501139e-01
1.826220849942e+00 6.490680927787e-01
1.847532218460e+00 6.272130555238e-01
1.868843586978e+00 6.028963041674e-01
1.890154955496e+00 5.754071955956e-01
1.911466324013e+00 5.436341419932e-01
1.932777692531e+00 5.056709290901e-01
1.954089061049e+00 4.577546944917e-01
1.975400429567e+00 3.906645090304e-01
1.996711798085e+00 2.829907338423e-01
2.018023166602e+00 0.000000000000e+00
2.039334535120e+00 0.000000000000e+00
2.060645903638e+00 0.000000000000e+00
2.081957272156e+00 0.000000000000e+00
2.103268640674e+00 0.000000000000e+00
2.124580009191e+00 0.000000000000e+00
2.145891377709e+00 0.000000000000e+00
2.167202746227e+00 0.000000000000e+00
2.188514114745e+00 0.000000000000e+00
2.209825483263e+00 0.000000000000e+00
